distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 optim_v-6 optim_v-7 optim_v-8 optim_v-9 optim_v-10 optim_v-11 optim_v-12 optim_v-13 optim_v-14 optim_v-15 
515.973 1 0.09328468 0.06742504 0.09999983 0.3362519 0.04485452 0.968471 0.3454245 0.02239408 0.01690299 1e-07 0.9765406 0.3134586 0.06156321 0.0007210937 0.0001294989 
458.4587 3 0.07912065 0.05887032 0.09714067 0.3777075 0.0422362 1.053725 0.3760078 0.02560812 0.02024048 9.764826e-08 1.102851 0.3184974 0.07231624 0.0008152265 0.0001534317 
460.3601 4 0.07910234 0.0557966 0.1060099 0.2884764 0.04017429 0.9201911 0.3957207 0.02350117 0.01831433 1.106868e-07 1.164841 0.2589434 0.054472 0.0007810315 0.0001549419 
461.9813 5 0.07633665 0.05406615 0.1156589 0.3018106 0.04256083 1.135415 0.3235895 0.02156648 0.01657911 1.172529e-07 0.8390398 0.251818 0.0544913 0.000857054 0.0001174426 
452.8885 6 0.1019417 0.06266877 0.08831674 0.3509282 0.03598769 1.098072 0.3057548 0.02298153 0.01772197 8.01e-08 0.8993641 0.284992 0.07199295 0.0006766345 0.0001506272 
461.0011 7 0.09099938 0.05738197 0.09148981 0.3191397 0.04969784 1.058198 0.3619569 0.02001156 0.01561596 1.125494e-07 0.894442 0.3364631 0.05975843 0.0006398659 0.0001413419 
460.7014 8 0.08752618 0.05455734 0.1199288 0.3007103 0.04052451 1.152048 0.3859466 0.0219582 0.01657241 9.019768e-08 1.138952 0.3756625 0.07382556 0.0008462241 0.0001237455 
491.8571 9 0.0813192 0.06668834 0.09912354 0.3074251 0.03742216 0.9303176 0.3870576 0.02617337 0.01592285 9.019768e-08 0.9971241 0.3185272 0.06012777 0.0006503557 0.0001248929 
461.7354 10 0.08586477 0.05398097 0.1188952 0.3180056 0.05116572 0.9983887 0.3212007 0.02360062 0.01915984 8.745058e-08 1.003811 0.2892828 0.07207013 0.0006112476 0.0001240286 
621.5285 11 0.0913796 0.0726004 0.09845182 0.3693783 0.05319961 1.012562 0.2958223 0.01871903 0.01969885 1.050988e-07 1.137436 0.25921 0.05675488 0.0007719593 0.000143759 
461.4826 12 0.0913904 0.05438489 0.113267 0.385986 0.05148684 1.071816 0.3542958 0.0213714 0.01992705 8.01e-08 1.060465 0.3710531 0.05133925 0.0006667774 0.000122464 
457.1007 13 0.09008266 0.06064583 0.08166142 0.3685357 0.0535793 0.9838207 0.4046061 0.01898905 0.01856009 9.117587e-08 1.115895 0.365348 0.05823369 0.0007593205 0.0001512232 
635.9796 14 0.09354034 0.07288323 0.1078091 0.3250306 0.04191326 0.8649855 0.3165481 0.02142759 0.01559547 1.050988e-07 1.09235 0.3556682 0.07085168 0.0006256763 0.0001428115 
642.6145 15 0.1030938 0.07323109 0.1132354 0.2822988 0.04634011 0.8618713 0.3214985 0.02041466 0.01687285 1.023517e-07 0.9794522 0.3719319 0.05062706 0.0007449111 0.0001169655 
540.2494 16 0.08962653 0.0686897 0.09144564 0.3873684 0.04201312 0.9763112 0.3372525 0.01877568 0.01515285 1.098023e-07 0.8611668 0.3557248 0.06446246 0.0005829397 0.00015492 
444.5602 17 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
445.247 18 0.1024935 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
605.8841 19 0.1024935 0.07040387 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
582.7705 20 0.1024935 0.07040387 0.08648258 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
582.0773 21 0.1024935 0.07040387 0.08648258 0.3603962 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
582.3769 22 0.1024935 0.07040387 0.08648258 0.3603962 0.05228272 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
582.1302 23 0.1024935 0.07040387 0.08648258 0.3603962 0.05228272 0.837608 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
580.6354 24 0.1024935 0.07040387 0.08648258 0.3603962 0.05228272 0.837608 0.325523 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
580.7736 25 0.1024935 0.07040387 0.08648258 0.3603962 0.05228272 0.837608 0.325523 0.02333643 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
581.4325 26 0.1024935 0.07040387 0.08648258 0.3603962 0.05228272 0.837608 0.325523 0.02333643 0.0136147 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
581.1237 27 0.1024935 0.07040387 0.08648258 0.3603962 0.05228272 0.837608 0.325523 0.02333643 0.0136147 1.050988e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
580.758 28 0.1024935 0.07040387 0.08648258 0.3603962 0.05228272 0.837608 0.325523 0.02333643 0.0136147 1.050988e-07 1.074854 0.3628809 0.06981061 0.0008258436 0.000137544 
579.8549 29 0.1024935 0.07040387 0.08648258 0.3603962 0.05228272 0.837608 0.325523 0.02333643 0.0136147 1.050988e-07 1.074854 0.2571568 0.06981061 0.0008258436 0.000137544 
579.835 30 0.1024935 0.07040387 0.08648258 0.3603962 0.05228272 0.837608 0.325523 0.02333643 0.0136147 1.050988e-07 1.074854 0.2571568 0.06704363 0.0008258436 0.000137544 
580.3517 31 0.1024935 0.07040387 0.08648258 0.3603962 0.05228272 0.837608 0.325523 0.02333643 0.0136147 1.050988e-07 1.074854 0.2571568 0.06704363 0.0007274394 0.000137544 
580.0878 32 0.1024935 0.07040387 0.08648258 0.3603962 0.05228272 0.837608 0.325523 0.02333643 0.0136147 1.050988e-07 1.074854 0.2571568 0.06704363 0.0007274394 0.0001259211 
446.3505 33 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
445.425 34 0.1068049 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
444.3699 35 0.1068029 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
446.4356 36 0.1068039 0.06254873 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
445.5506 37 0.1068039 0.06254673 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
446.0722 38 0.1068039 0.06254773 0.1006572 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
445.5456 39 0.1068039 0.06254773 0.1006552 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
445.403 40 0.1068039 0.06254773 0.1006562 0.3379064 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
444.2291 41 0.1068039 0.06254773 0.1006562 0.3379044 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
446.1293 42 0.1068039 0.06254773 0.1006562 0.3379054 0.05229643 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000137544 
