"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","ETA1","Età","SEXISTAT1","Sesso","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","Y0","0 anni","9","totale","1974","1974",867836,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y1","1 anni","9","totale","1974","1974",870614,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y2","2 anni","9","totale","1974","1974",861107,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y3","3 anni","9","totale","1974","1974",868683,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y4","4 anni","9","totale","1974","1974",902072,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y5","5 anni","9","totale","1974","1974",893670,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y6","6 anni","9","totale","1974","1974",906495,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y7","7 anni","9","totale","1974","1974",939292,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y8","8 anni","9","totale","1974","1974",944712,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y9","9 anni","9","totale","1974","1974",962477,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y10","10 anni","9","totale","1974","1974",912015,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y11","11 anni","9","totale","1974","1974",879869,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y12","12 anni","9","totale","1974","1974",875623,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y13","13 anni","9","totale","1974","1974",891193,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y14","14 anni","9","totale","1974","1974",830583,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y15","15 anni","9","totale","1974","1974",801409,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y16","16 anni","9","totale","1974","1974",800301,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y17","17 anni","9","totale","1974","1974",793688,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y18","18 anni","9","totale","1974","1974",782281,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y19","19 anni","9","totale","1974","1974",778822,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y20","20 anni","9","totale","1974","1974",748454,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y21","21 anni","9","totale","1974","1974",745515,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y22","22 anni","9","totale","1974","1974",750420,,
"IT","Italia","JAN","popolazione al 1º gennaio","Y23","23 anni","9","totale","1974","1974",822379,,
